"","Name","Description","Designator","Part Number","Price","Qty"
,"BH-18650-A","18650 Cell Holder","B1, B2","","","2"
,"CAP 1uF 16V X7R 10% 0603","1uF 10% 0603 Ceramic Capacitor","C1, C21, C23, C29, C33, C41, C46","","","7"
,"CAP 10nF 50V X7R 10% 0603","10nF 10% 0603 Ceramic Capacitor","C2","","","1"
,"CAP 4.7uF 10V X7R 10% 0805","4.7uF 10% 0805 Ceramic Capacitor","C3, C4","","","2"
,"CAP 10uF 10V X7R 10% 0805","10uF 10% 0805 Ceramic Capacitor","C5, C7, C8, C10, C11, C15, C16, C44, C45, C54","","","10"
,"CAP 100nF 50V X7R 10% 0603","100nF 10% 0603 Ceramic Capacitor","C6, C38, C47, C50, C52","","","5"
,"CAP 2.2nF 50V X7R 10% 0603","2.2nF 10% 0603 Ceramic Capacitor","C9, C13, C43","","","3"
,"CAP 2.2uF 25V X7R 10% 0805","2.2uF 10% 0805 Ceramic Capacitor","C12, C14","","","2"
,"CAP 680nF 50V X7R 10% 0805","680nF 10% 0805 Ceramic Capacitor","C17, C22, C31, C35","","","4"
,"CAP 220nF 25V X7R 10% 0603","220nF 10% 0603 Ceramic Capacitor","C18, C24, C27, C30","","","4"
,"CAP 330pF 50V C0G 10% 0603","330pF 10% 0603 Ceramic Capacitor","C19, C25, C28, C32","","","4"
,"CAP 10nF 100V X7R 10% 0805","10nF 10% 0805 Ceramic Capacitor","C20, C26, C34, C36","","","4"
,"CAP 4.7uF 25V X7R 10% 0805","4.7uF 10% 0805 Ceramic Capacitor","C37, C39","","","2"
,"CAP 4.7uF 50V X7R 10% 2220","4.7uF 10% 2220 Ceramic Capacitor","C40","","","1"
,"CAP 1nF 50V C0G 10% 0603","1nF 10% 0603 Ceramic Capacitor","C42, C49","","","2"
,"EEEFP1V221AP","CAP ALUM 220UF 20% 35V SMD","C48, C51","Panasonic EEEFP1V221AP","1.98","2"
,"CAP 47pF 50V C0G 10% 0603","47pF 10% 0603 Ceramic Capacitor","C53","","","1"
,"VLMY1300-GS08","LED YELLOW 0603 SMD","D1, D4","Vishay Semiconductors VLMY1300-GS08","0.124","2"
,"B120B-13-F","DIODE SCHOTTKY 20V 1A SMB","D2","Diodes B120B-13-F","0.41","1"
,"SS34-E3/57T","DIODE SCHOTTKY 40V 3A DO214AB","D3","Vishay Semiconductors SS34-E3/57T","0.58","1"
,"47589-0001","Right Angle Female Type AB Micro USB Connector, 30 V, 1.8 A, -30 to 85 degC, RoHS, Tape and Reel","J1","Molex 47589-0001","0.5545","1"
,"1760490000","OMNIMATE Signal - series PM","J2, J3","Weidmuller 1760490000","0.9676","2"
